^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
40.17,27.47,51.91,61.31,17.27,45.11,35.24,33.5,40.93,25.5,55.65,48.46,788.42,0
40.34,27.26,52.4,61.74,16.46,44.92,34.58,32.46,40.44,24.4,55.84,47.08,778.94,0
40.71,27.12,51.62,59.91,16.34,44.48,33.89,32.46,40.63,25.94,54.48,49.3,770.05,1
39.41,26.41,50.3,57.12,15.75,43.43,32.26,31.12,38.11,23.99,53.11,52.62,743.33,0
40.96,27.59,51.19,59.7,17.3,44.26,33.36,32.03,39.49,26.02,54.7,45.49,773.14,0
40.89,27.33,50.77,59.17,17.17,43.48,32.49,32.08,38.83,25.52,54.24,44.67,764.9,0
40.68,26.8,49.49,59.33,17.35,41.31,31.93,31.7,38.6,24.21,53.35,44.66,752.83,1
40.72,26.77,49.53,58,16.44,39.62,31.15,31.57,38.39,23.89,52.53,46.35,735.09,1
38.64,25.68,48.17,53.58,15.33,37.83,29.03,30.53,35.67,22.4,50.59,52.65,700.82,0
38.01,25.37,47.77,53.87,15.15,37.88,28.67,30.6,35.76,22.49,48.78,50.93,696.33,0
39.75,25.94,48.57,56.25,15.04,38.81,29.43,31.31,37.1,22.85,49.72,47.56,712.87,1
38.03,24.82,47.2,53.62,13.76,37.58,28.08,30.27,35.7,21.44,47.97,50.17,682.55,0
37.84,24.61,47.69,54.55,13.59,38.09,28.01,30.1,35.85,21.15,48.12,49.33,683.38,0
36.57,24.27,46.77,54.44,13.75,37.73,27.82,29.36,35.58,21.62,47.04,49.68,676.53,0
39,25.99,47.89,57.03,15.52,39.08,30.1,31.17,37.88,24.63,48.03,44.37,719.6,0
39.2,26.31,47.87,56.77,15.84,38.47,30.26,32.04,38.78,24.23,47.8,43.61,721.36,0
40.94,27.42,49.12,58.59,17.26,40.34,31.62,32.86,39.7,26.21,48.53,41.18,750.74,0
41.38,27.63,49.97,58.04,17.45,41.55,31.65,32.9,39.99,25.65,49.25,42.36,756.55,0
41.22,27.15,50.51,58.62,16.99,41.1,31.83,32.36,40.25,23.63,50.46,43.74,753.89,0
42.57,28.39,51.36,60.9,18.1,41.82,32.62,33.46,40.64,25.42,51.36,40.8,778.12,0
43.66,29.27,51.18,61.64,19.56,41.9,33.29,34.07,41.93,26.81,52.84,40.06,794.35,0
43.53,29.02,50.62,63.16,18.32,40.97,33.08,34.17,42.55,25.17,53.6,43.68,784.04,0
42.72,28.4,50.53,60.64,17.48,41,31.95,33.55,41.56,23,53.17,45.89,768.54,0
45.43,30.38,52.62,65.76,20.29,42.48,34.42,35.62,44.22,26.72,55.37,43.23,822.92,1
44.1,29.99,52.33,64.18,18.97,41.89,34.12,35.1,44,24.66,54.16,42.93,806.12,0
44.6,30.27,52.88,64.46,19.55,42.22,34.32,35.27,44.5,24.58,53.47,42.25,813.88,0
45.27,31.51,53.55,65.05,19.83,42.81,36.09,36.46,46.42,25.13,54.25,40.36,832.86,1
44.81,30.92,53.02,63.3,19.29,42.32,35.3,35.56,45.33,24.01,53.52,41.04,815.94,1
43.32,29.86,51.84,60.71,17.82,42.01,33.51,34.63,43.58,22.7,52.57,45.54,787.53,0
43.67,30.11,51.38,60.24,18.79,41.95,33.85,35.23,43.92,24.28,53.16,44.14,797.87,0
45.09,30.76,52.56,61.64,19.14,42.16,34.42,36.02,45.2,24.15,53.32,42.28,811.08,0
46.83,32.34,53.74,64.24,19.74,42.22,36.38,37.08,46.69,25.9,54.05,42.04,834.38,0
